GENERATION_PROJECT	build_year	gen_predetermined_cap
Oahu_AES	1992	185
Oahu_Airport_DSG	2013	8
Oahu_CIP_CT	2009	113
Oahu_CentralTrackingPV_PV_01	2016	27.6
Oahu_CentralTrackingPV_PV_04	2012	5
Oahu_DistPV_Oahu_DistPV_1	2016	48.80493237
Oahu_DistPV_Oahu_DistPV_10	2016	62.52717622
Oahu_DistPV_Oahu_DistPV_11	2016	57.17331286
Oahu_DistPV_Oahu_DistPV_2	2016	10.18510011
Oahu_DistPV_Oahu_DistPV_3	2016	7.782655398
Oahu_DistPV_Oahu_DistPV_5	2016	33.8356203
Oahu_DistPV_Oahu_DistPV_6	2016	32.88128674
Oahu_DistPV_Oahu_DistPV_7	2016	99.94714623
Oahu_DistPV_Oahu_DistPV_8	2016	43.17514726
Oahu_DistPV_Oahu_DistPV_9	2016	47.6876225
Oahu_H-Power	1989	73
Oahu_Kahe_4	1972	85.3
Oahu_Kahe_5	1974	134.3
Oahu_Kahe_6	1981	134.4
Oahu_Kalaeloa_CC1	1989	90
Oahu_Kalaeloa_CC2	1991	90
Oahu_Kalaeloa_CC3	1991	28
Oahu_OnshoreWind_OnWind_Kahuku	2011	30
Oahu_OnshoreWind_OnWind_Kawailoa	2012	69
Oahu_Waiau_10	1973	49.9
Oahu_Waiau_3	1947	46.6
Oahu_Waiau_4	1950	46.6
Oahu_Waiau_5	1959	54.5
Oahu_Waiau_6	1961	53.5
Oahu_Waiau_7	1966	82.9
Oahu_Waiau_8	1968	86.1
Oahu_Waiau_9	1973	52.9
Oahu_OnshoreWind_OnWind_402	2025	0
Oahu_OnshoreWind_OnWind_402	2030	0
Oahu_OnshoreWind_OnWind_402	2035	0
Oahu_OnshoreWind_OnWind_402	2040	0
Oahu_OnshoreWind_OnWind_403	2020	0
Oahu_OnshoreWind_OnWind_403	2022	0
Oahu_OnshoreWind_OnWind_403	2025	0
Oahu_OnshoreWind_OnWind_403	2030	0
Oahu_OnshoreWind_OnWind_403	2035	0
Oahu_OnshoreWind_OnWind_403	2040	0
Oahu_OnshoreWind_OnWind_404	2020	0
Oahu_OnshoreWind_OnWind_404	2022	0
Oahu_OnshoreWind_OnWind_404	2025	0
Oahu_OnshoreWind_OnWind_404	2030	0
Oahu_OnshoreWind_OnWind_404	2035	0
Oahu_OnshoreWind_OnWind_404	2040	0
Oahu_OnshoreWind_OnWind_405	2020	0
Oahu_OnshoreWind_OnWind_405	2022	0
Oahu_OnshoreWind_OnWind_405	2025	0
Oahu_OnshoreWind_OnWind_405	2030	0
Oahu_OnshoreWind_OnWind_405	2035	0
Oahu_OnshoreWind_OnWind_405	2040	0
Oahu_OnshoreWind_OnWind_406	2020	0
Oahu_OnshoreWind_OnWind_406	2022	0
Oahu_OnshoreWind_OnWind_406	2025	0
Oahu_OnshoreWind_OnWind_406	2030	0
Oahu_OnshoreWind_OnWind_406	2035	0
Oahu_OnshoreWind_OnWind_406	2040	0
Oahu_OnshoreWind_OnWind_407	2020	0
Oahu_OnshoreWind_OnWind_407	2022	0
Oahu_OnshoreWind_OnWind_407	2025	0
Oahu_OnshoreWind_OnWind_407	2030	0
Oahu_OnshoreWind_OnWind_407	2035	0
Oahu_OnshoreWind_OnWind_407	2040	0
Oahu_OnshoreWind_OnWind_408	2020	0
Oahu_OnshoreWind_OnWind_408	2022	0
Oahu_OnshoreWind_OnWind_408	2025	0
Oahu_OnshoreWind_OnWind_408	2030	0
Oahu_OnshoreWind_OnWind_408	2035	0
